service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
0096UE550117301731842,1,1,1,1,1,0,0,20140719,20140822
0096UE550117451745475,0,0,0,0,0,0,1,20140719,20140822
0096UE550117501759323,0,0,0,0,0,0,1,20140719,20140822
0096UE550118001770874,0,0,0,0,0,1,0,20140719,20140822
0096UE550118001772176,0,0,0,0,0,1,0,20140719,20140822
0096UE550118001774941,1,1,1,1,1,0,0,20140719,20140822
0096UE550118001776064,1,1,1,1,1,0,0,20140719,20140822
0096UE550119001864160,1,1,1,1,1,0,0,20140719,20140822
0096UE550119001866100,1,1,1,1,1,0,0,20140719,20140822
0096UE550119001866634,0,0,0,0,0,1,0,20140719,20140822
0096UE550119001867936,0,0,0,0,0,1,0,20140719,20140822
0101ML45510630621172,1,1,1,1,1,0,0,20140719,20140822
0101ML45510700676042,1,1,1,1,1,0,0,20140719,20140822
0101ML45510730720592,1,1,1,1,1,0,0,20140719,20140822
0101ML45510800765142,1,1,1,1,1,0,0,20140719,20140822
0101ML45510830809692,1,1,1,1,1,0,0,20140719,20140822
0101ML45510900847771,1,1,1,1,1,0,0,20140719,20140822
0101ML45511000936871,1,1,1,1,1,0,0,20140719,20140822
0101ML455111001025971,1,1,1,1,1,0,0,20140719,20140822
0101ML455112001115071,1,1,1,1,1,0,0,20140719,20140822
0101ML455113001204171,1,1,1,1,1,0,0,20140719,20140822
0101ML455114001293271,1,1,1,1,1,0,0,20140719,20140822
0101ML455115001382371,1,1,1,1,1,0,0,20140719,20140822
0101ML455115301435135,1,1,1,1,1,0,0,20140719,20140822
0101ML455116001479685,1,1,1,1,1,0,0,20140719,20140822
0101ML455116301524235,1,1,1,1,1,0,0,20140719,20140822
0101ML455117001568785,1,1,1,1,1,0,0,20140719,20140822
0101ML455117301613335,1,1,1,1,1,0,0,20140719,20140822
0101ML455118001657885,1,1,1,1,1,0,0,20140719,20140822
0102ML45520630655428,1,1,1,1,1,0,0,20140719,20140822
0102ML45520700707139,1,1,1,1,1,0,0,20140719,20140822
0102ML45520730753339,1,1,1,1,1,0,0,20140719,20140822
0102ML45520800799539,1,1,1,1,1,0,0,20140719,20140822
0102ML45520830845739,1,1,1,1,1,0,0,20140719,20140822
0102ML45520900886428,1,1,1,1,1,0,0,20140719,20140822
0102ML45521000978828,1,1,1,1,1,0,0,20140719,20140822
0102ML455211001071228,1,1,1,1,1,0,0,20140719,20140822
0102ML455212001163628,1,1,1,1,1,0,0,20140719,20140822
0102ML455213001256028,1,1,1,1,1,0,0,20140719,20140822
0102ML455214001348428,1,1,1,1,1,0,0,20140719,20140822
0102ML455215001440828,1,1,1,1,1,0,0,20140719,20140822
0102ML455215301495132,1,1,1,1,1,0,0,20140719,20140822
0102ML455216001541332,1,1,1,1,1,0,0,20140719,20140822
0102ML455216301587532,1,1,1,1,1,0,0,20140719,20140822
0102ML455217001633732,1,1,1,1,1,0,0,20140719,20140822
